# source-repository: Oichkatzelesfrettschen/radeon-custom
# source-commit: 210e2b06c0266e316f08eb0b2b3e9832884c43de
# source-tree: ae78a215fffcc2f6cc40a89169830f7b875f815b
# selector-regex: ^patches/rs480/[0-9]{4}-[^/]+[.]patch$
path	numeric_id	git_blob_oid	sha256	denominator_selected	selection_reason
patches/rs480/0001-rs480-safe-regs-debugfs.patch	0001	f2732fae3e7c9e53fd5243750f75a3be46bc80a2	f7db1a39d7b2138940dcf7a90d4cedf4cffe6b5cea02c94e47302cc5d2b7b99d	true	top-level numeric patch selector
patches/rs480/0002-rs480-cp-mc-cache-flush.patch	0002	c54244c5349c307899fe1205384805f90719e6d5	9aaeed7ff68c6892c2c754977784a9ae1ab43722f0270afd4e4f308783ca57fc	true	top-level numeric patch selector
patches/rs480/0003-rs480-crash-shim-recovery.patch	0003	af6ae5623a09944b30c36b8c781f97ec5b7e5846	cc921d8f17005e3e77fb7a610c427d585b15c1dfd907525c6d7575dac168b5c3	true	top-level numeric patch selector
patches/rs480/0004-rs480-candidate-regs-debugfs.patch	0004	bc2af2e05e67915e4b68038bc279c0ef3b3f8265	dd75e9385f5d790d8b2dea4a3a45a63018381ecc07ef13f736202572af1c50fb	true	top-level numeric patch selector
patches/rs480/0005-rs480-firmware-read-candidate-regs-debugfs.patch	0005	7eb03e6cc04a59f960629105effc3f17a627b6bf	649b31644834efe1492dd6d3ccf36734654649cc8a454d919a2636e2d8efb5cc	true	top-level numeric patch selector
patches/rs480/0006-rs480-cp-me-ram-dump-debugfs.patch	0006	9ee71c4edec3156c3d7379b09b835cedb14b04d1	f516362810b934851fd9f8773bddc926e6febf0218bd4731fe2cc18bfc6beeb2	true	top-level numeric patch selector
patches/rs480/0007-rs480-cs-parser-init-failure-telemetry.patch	0007	1eb10935e80a5ff054062dac80b1b3ce42714dd4	db99d8058c4054ea6de6c6c618e2f1a3837dd87c09a5f331741961efd8a877e2	true	top-level numeric patch selector
patches/rs480/0008-rs480-cp-me-ram-inject-write-verify-restore.patch	0008	456eeb015571f769cb4fd737074a6f1848a80275	29b1f12b17c1ea40d61638f93e69c9155935dafebeae55c08e07d1669992fe87	true	top-level numeric patch selector
patches/rs480/0009-rs480-debugfs-init-dri-minor-root.patch	0009	29903d4f5ad2c12975d65b07295b712d7d228bb7	e5e4da27a9cb3eca0c909411e505ae083c1097d3ff205597fd922ecd8a3e236a	true	top-level numeric patch selector
patches/rs480/0010-rs480-mc-benign-candidate-regs-debugfs.patch	0010	821495b62026118b7a647c77ee9ab37a892fe603	a7d19ed4adbfc90655ecd3684468294e3ba5d25c18c2a4114e39e0b9dfccdf9a	true	top-level numeric patch selector
patches/rs480/0011-rs480-gart-status-candidate-regs-debugfs.patch	0011	0c97fe70cf2bd3ced4da05636afcba9b51ef7267	72188c3a54ad234a16650547615840831c0a5b908d98fcd6b67b45a94ff66829	true	top-level numeric patch selector
patches/rs480/0012-rs480-uma-status-debugfs.patch	0012	03112616d8750763efd32cc20bf9c275520cafe5	c4a72d72e4d20455b55e9b34d4f9930e0b1fd310ad6e29c107a3f21d89303e66	true	top-level numeric patch selector
patches/rs480/0013-rs480-cp-me-oracle-debugfs.patch	0013	0259ba97f98d047f7f7264e1fe8cf5ea3a09a9ed	4b07be4380937339b63043315fa1fa1ae20666274a86f708e198228795f4a981	true	top-level numeric patch selector
patches/rs480/0014-rs480-promote-config-regs-to-safe.patch	0014	bf4e5bc014bdfbefbefeb23fe55b69914a14e7d9	85bc4b0bbff13997d51ccce1fa7fa9e4bbf47f1e121203803b8409f6313d6092	true	top-level numeric patch selector
patches/rs480/0015-rs480-frontier-attended-probe-debugfs.patch	0015	ee40ac0a6200f7e38716c99a6b26e1fdf94a12f6	a814f5bd6b46f9b2083d4dc6053d57512b7e571187a2e8e8b9f2ccdc90d6193b	true	top-level numeric patch selector
patches/rs480/0016-rs480-cp-me-inject-eio-perdev-ppos-hardening.patch	0016	654998a11da50c09ea2c7b773d5d2a47f6ca6892	7dbed51345e065c75bbf97fb269fe784bf78cf0d6d89618f9fce3aba2da1be61	true	top-level numeric patch selector
patches/rs480/0017-rs480-promote-frontier-responders-to-safe.patch	0017	211bf285ce7828efed9e9360235a7e2c15ba91db	1c4dc355f24a95f5eb8b68ab9179dc457873b711dcbba1f9c691b08f7a1d3cee	true	top-level numeric patch selector
patches/rs480/0018-rs480-sclk-cntl-pll-status-debugfs.patch	0018	9a173a6a958c387731b031b4b1241aa0ef475766	8e7b4c63b9bad39d7b30986ce0c4a6c4935bfc5d09d7a9684d5ab6154ec3eeca	true	top-level numeric patch selector
patches/rs480/0019-rs480-pll-indirect-and-hazard-firstread-debugfs.patch	0019	67348692afe000394b58899432bfcb367ef83e1e	b706f21b8a5e099ec006ad105406c71452939bb3671615a2d03865a016b25fa9	true	top-level numeric patch selector
patches/rs480/0020-rs480-promote-hazard-read-responders-to-safe.patch	0020	d6623b5ebe3923936ae7b9af00013c56251d6a5d	df61741aedb64bcdf05001199305e566f2d75b15c517ade104386805b3e77f62	true	top-level numeric patch selector
patches/rs480/0021-rs480-cs-checker-r400-us-allowlist.patch	0021	5b158a147baf12c898607a260016b0ce6bbfda35	84c51c35f302e144685fdd9edfc62b6e0e09ff993fb6cc5cce475c79fa3e84a0	true	top-level numeric patch selector
patches/rs480/0022-rs480-vertex-engine-attended-probe-debugfs.patch	0022	0bfa7174b100c599b39eb5e107ce23cdc6923091	ece85f2d906e860fa458dec8c2bb420d8f8414e6f4667c5d785fba6972ff283c	true	top-level numeric patch selector
patches/rs480/0023-rs480-gart-snoop-and-atomic-rmw-experiment.patch	0023	2389f0a355d0596047814bd25ad0836f0fd755e4	b141532fbd0ec17f4a155d3699f40cdd2a33873ef3ed3848812ac4db98077feb	true	top-level numeric patch selector
patches/rs480/0023-rs480-gart-snoop-atomic-rmw-f3x40-mca-nb-control.patch	0023	7b7a8cb2e5ef4e4416c6ed872c85004697c623a0	73ef697d9f37c1f977435e4c89406abcd13edb732fbf5aec503bd9340ecf6b0f	true	top-level numeric patch selector
patches/rs480/0024-rs480-reader-hazard-skip-guard.patch	0024	68c82fc69ae8c064ac9610e99a18956efb2e73df	17e629374a6c3a4e911933c18195abedd7197663a0b9f1e144e2762edb6d8f9b	true	top-level numeric patch selector
patches/rs480/0025-rs480-per-domain-force-clock-then-read-node.patch	0025	77c62a777b288e5584ee0578a77e56cfb62485f0	930c027a7240675cb6afa3f1e8af15662b5e8f5ba6147815bb4c62a1ff75c9e6	true	top-level numeric patch selector
patches/rs480/0026-rs480-gate-wedge-prone-candidate-readers.patch	0026	30958fa0100398d4396427e4041162f89c284e91	06c890d5e9f4c023b1ffbe0da4f603bfaa6911c88c4ad91dd54c44a9fd2196b2	true	top-level numeric patch selector
